9 892a
a a5ad
d a5ad
20 b4ab3
21 86f
22 2ef5
27 dad8
28 188
29 188
2c d184
2d 4e1
2e 8741
2f 15
30 c3c
31 3f9c
32 2cd5
33 1cb2
34 14c5
35 1121
36 f50
37 e36
38 d57
39 cb7
3a 2a84
3b 2007
3f c96
40 7
41 1f40
42 91a
43 1598
44 2127
45 1906
46 77b
47 1f3a
48 256
49 2592
4a 7
4b 164
4c b13
4d 13c8
4e daf
4f 68f
50 129b
51 8fb
52 67a
53 3a09
54 982
55 2e9
56 4e6
57 1
58 4
5a 296
5b 8ae2
5d 8ae2
61 5985f
62 68c2
63 21fd4
64 200fe
65 641a9
66 92d7
67 118ee
68 9778
69 5f361
6a 2
6b 2ea
6c 35e21
6d 14171
6e 38572
6f 56dee
70 14c8f
71 3b29
72 3880d
73 29f98
74 313f3
75 1b579
76 e590
77 12
78 3
79 1
7a 567f
7d 1
